"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu May 23 10:48:14 CST 2024","Thu May 23 10:48:16 CST 2024","2797","testcase","test_checked_regular_performance_level","TestCheckedRegularPerformanceLevel","","","删除核定常规绩效水平",""
"failed","Thu May 23 10:49:29 CST 2024","Thu May 23 10:49:40 CST 2024","10560","testcase","test_internalOrganizationManagement","TestInternalOrganizationManagement","","","新增内设机构","新增内设机构"
"passed","Thu May 23 10:50:44 CST 2024","Thu May 23 10:51:05 CST 2024","20948","testcase","test_personnel_reduction","TestPersonnelReduction","","","人员减少",""
"passed","Thu May 23 10:47:44 CST 2024","Thu May 23 10:48:04 CST 2024","20276","testcase","test_checked_regular_performance_level","TestCheckedRegularPerformanceLevel","","","新增核定常规绩效水平",""
"failed","Thu May 23 10:49:48 CST 2024","Thu May 23 10:50:36 CST 2024","47093","testcase","test_personnelAdd","TestPersonnelAdd","","","人员新增","人员新增"
"broken","Thu May 23 10:48:09 CST 2024","Thu May 23 10:48:13 CST 2024","4055","testcase","test_checked_regular_performance_level","TestCheckedRegularPerformanceLevel","","","核定常规绩效水平-附件补录",""
"broken","Thu May 23 10:51:13 CST 2024","Thu May 23 10:52:04 CST 2024","51055","testcase","test_unitInfomaitionModification","TestUnitInfomaitionModification","","","单位基础信息修改","单位基础信息修改"
"skipped","Thu May 23 10:48:04 CST 2024","Thu May 23 10:48:04 CST 2024","0","testcase","test_checked_regular_performance_level","TestCheckedRegularPerformanceLevel","","","导出绩效水平列表",""
"passed","Thu May 23 10:48:25 CST 2024","Thu May 23 10:49:03 CST 2024","38222","testcase","test_create_unit","TestCreateUnit","","","新建单位"," 创建单位 "
"passed","Thu May 23 10:48:04 CST 2024","Thu May 23 10:48:09 CST 2024","5290","testcase","test_checked_regular_performance_level","TestCheckedRegularPerformanceLevel","","","修改核定常规绩效水平",""
"passed","Thu May 23 10:49:14 CST 2024","Thu May 23 10:49:20 CST 2024","5942","testcase","test_establishment_modification","TestEstablishmentModification","","","修改单位编制信息","修改单位编制信息"
