2024-05-08 14:00:50 - MainProcess | MainThread | base_util.setUpClass:44 - INFO -############################### START ###############################
2024-05-08 14:00:53 - MainProcess | MainThread | base_page.max_window:58 - SUCCESS -Maximized the window.
2024-05-08 14:00:54 - MainProcess | MainThread | base_page.open_url:47 - SUCCESS -Navigated to http://192.168.2.209/test_console/login.
2024-05-08 14:00:55 - MainProcess | MainThread | base_page.input:188 - SUCCESS -Input 'qyqzs' to id->username, Spend 0.31323742866516113 seconds.
2024-05-08 14:00:55 - MainProcess | MainThread | base_page.input:188 - SUCCESS -Input 'Aa123456' to id->password, Spend 0.23559904098510742 seconds.
2024-05-08 14:00:55 - MainProcess | MainThread | base_page.input:188 - SUCCESS -Input 'abfhj' to id->captcha, Spend 0.24710726737976074 seconds.
2024-05-08 14:00:55 - MainProcess | MainThread | base_page.click:169 - SUCCESS -Click element xpath->//*[@id="root"]/div/div[2]/div[1]/div/form/div[5]/div/div/div/div/button, Spend 0.10640358924865723 seconds.
2024-05-08 14:00:58 - MainProcess | MainThread | base_page.click:169 - SUCCESS -Click element xpath->//div[contains(text(),"管理版")], Spend 1.1120471954345703 seconds.
2024-05-08 14:00:59 - MainProcess | MainThread | base_page.move_to_element:307 - SUCCESS -Move to element xpath->//span[contains(text(),"业务审核")], Spend 1.1558761596679688 seconds.
2024-05-08 14:00:59 - MainProcess | MainThread | base_page.click:169 - SUCCESS -Click element xpath->//span[contains(text(), '业务指导(基层)')]/ancestor::a, Spend 0.1787862777709961 seconds.
2024-05-08 14:01:01 - MainProcess | MainThread | base_page.input:188 - SUCCESS -Input '916109281116397393' to name->queryStr, Spend 1.2791664600372314 seconds.
2024-05-08 14:01:01 - MainProcess | MainThread | base_page.click:169 - SUCCESS -Click element xpath->//tbody[@class="ant-table-tbody"]/tr[2]/td[1]/a, Spend 0.1474764347076416 seconds.
2024-05-08 14:01:02 - MainProcess | MainThread | base_page.switch_to_new_window:371 - SUCCESS -Switched to new window, spent 0.5261397361755371 seconds.
2024-05-08 14:01:04 - MainProcess | MainThread | base_page.move_to_element:307 - SUCCESS -Move to element xpath->//ul[@class="menu-root"]/li[4]/div, Spend 1.969285011291504 seconds.
2024-05-08 14:01:04 - MainProcess | MainThread | base_page.click:169 - SUCCESS -Click element xpath->//div[@class="menu-sub ng-star-inserted"]/ul/li[1]/a, Spend 0.11447286605834961 seconds.
2024-05-08 14:01:05 - MainProcess | MainThread | base_page.click:169 - SUCCESS -Click element css->nz-select[formcontrolname="personalIdentityId"] input, Spend 1.0743353366851807 seconds.
2024-05-08 14:01:06 - MainProcess | MainThread | base_page.click:169 - SUCCESS -Click element xpath->//nz-option-item[@title='专业技术人员'], Spend 0.239715576171875 seconds.
2024-05-08 14:01:06 - MainProcess | MainThread | base_page.htmlSelect:548 - SUCCESS -Special select option: 专业技术人员 from css->nz-select[formcontrolname="personalIdentityId"] input, Spend 1.815962314605713 seconds.
2024-05-08 14:01:06 - MainProcess | MainThread | base_page.clear:226 - SUCCESS -Clear the text content of css->lib-date-input[formcontrolname="qxDate"] input, Spend 0.2316739559173584 seconds.
2024-05-08 14:01:07 - MainProcess | MainThread | base_page.input:188 - SUCCESS -Input '202301.0' to css->lib-date-input[formcontrolname="qxDate"] input, Spend 0.23763275146484375 seconds.
2024-05-08 14:01:07 - MainProcess | MainThread | base_page.tab:206 - SUCCESS -Input '' to css->lib-date-input[formcontrolname="qxDate"] input, Spend 0.06705474853515625 seconds.
2024-05-08 14:01:07 - MainProcess | MainThread | base_page.input:188 - SUCCESS -Input 'yijuwenhao' to xpath->//lib-staff-head/form[1]/nz-form-item[3]/nz-form-control[1]/div[1]/div[1]/input[1], Spend 0.23113226890563965 seconds.
2024-05-08 14:01:07 - MainProcess | MainThread | base_page.input:188 - SUCCESS -Input 'Testt' to xpath->//input[@formcontrolname="staffName"], Spend 0.21788573265075684 seconds.
2024-05-08 14:01:07 - MainProcess | MainThread | base_page.click:169 - SUCCESS -Click element css->nz-select[formcontrolname="gender"], Spend 0.1249856948852539 seconds.
