2024-05-09 11:33:04 - MainProcess | MainThread | base_util.setUp:46 - INFO -############################### START ###############################
2024-05-09 11:33:07 - MainProcess | MainThread | base_page.max_window:59 - SUCCESS -Maximized the window.
2024-05-09 11:33:08 - MainProcess | MainThread | base_page.open_url:48 - SUCCESS -Navigated to http://192.168.2.209/test_console/login.
2024-05-09 11:33:08 - MainProcess | MainThread | base_page.input:206 - SUCCESS -Input 'qyq002' to id->username, Spend 0.22951555252075195 seconds.
2024-05-09 11:33:08 - MainProcess | MainThread | base_page.input:206 - SUCCESS -Input 'Aa123456' to id->password, Spend 0.14773273468017578 seconds.
2024-05-09 11:33:08 - MainProcess | MainThread | base_page.input:206 - SUCCESS -Input 'abfhj' to id->captcha, Spend 0.1295483112335205 seconds.
2024-05-09 11:33:09 - MainProcess | MainThread | base_page.click:184 - SUCCESS -Click element xpath->//*[@id="root"]/div/div[2]/div[1]/div/form/div[5]/div/div/div/div/button, Spend 0.09115982055664062 seconds.
2024-05-09 11:33:10 - MainProcess | MainThread | base_page.open_url:48 - SUCCESS -Navigated to http://192.168.2.209/test_console/home.
2024-05-09 11:33:11 - MainProcess | MainThread | base_page.click:184 - SUCCESS -Click element xpath->//*[@id="root"]/section/section/main/div[1]/div[3]/div/div/div[2]/div[1], Spend 0.9163973331451416 seconds.
2024-05-09 11:33:11 - MainProcess | MainThread | base_page.input:206 - SUCCESS -Input '93140824332878805W' to id->nest-messages_creditCode, Spend 0.19339823722839355 seconds.
2024-05-09 11:33:12 - MainProcess | MainThread | base_page.input:206 - SUCCESS -Input '测试Marshall-Freeman' to id->nest-messages_organizationName, Spend 0.20998764038085938 seconds.
2024-05-09 11:33:12 - MainProcess | MainThread | base_page.click:184 - SUCCESS -Click element xpath->//div[@class="ant-select-selector"], Spend 0.08576345443725586 seconds.
2024-05-09 11:33:13 - MainProcess | MainThread | base_page.click:184 - SUCCESS -Click element xpath->//div[@title='否'], Spend 0.9116981029510498 seconds.
2024-05-09 11:33:13 - MainProcess | MainThread | base_page.click:184 - SUCCESS -Click element xpath->//div[@class="unit_add_head__fNOk6"]/button[1], Spend 0.0836493968963623 seconds.
2024-05-09 11:33:14 - MainProcess | MainThread | base_page.get_text:281 - SUCCESS -Get text: '保存成功，是否需要维护单位信息？' from xpath->//div[@class="ant-modal-content"]/div/div/div/div, Spend 1.6809396743774414 seconds.
2024-05-09 11:33:14 - MainProcess | MainThread | base_page.assert_text:471 - SUCCESS -The successful assertion text: '保存成功，是否需要维护单位信息？' is from '保存成功，是否需要维护单位信息？' and takes 0.00 seconds.
2024-05-09 11:33:16 - MainProcess | MainThread | base_page.click:184 - SUCCESS -Click element xpath->//div[@class="ant-modal-confirm-btns"]/button[2], Spend 1.2807726860046387 seconds.
