2023-12-08 22:32:48 - MainProcess | MainThread | base_page.__init__:45 - SUCCESS -Start a new browser: chrome, Spend 1.9117531776428223 seconds.
2023-12-08 22:32:48 - MainProcess | MainThread | base_page.open_url:57 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:32:48 - MainProcess | MainThread | base_page.input:195 - SUCCESS -Input 'selenium' to id->kw, Spend 0.29059934616088867 seconds.
2023-12-08 22:32:49 - MainProcess | MainThread | base_page.click:178 - SUCCESS -Click element id->su, Spend 0.07415461540222168 seconds.
2023-12-08 22:32:49 - MainProcess | MainThread | base_page.get_text:245 - SUCCESS -Get text:  from id->su, Spend 0.020999908447265625 seconds.
2023-12-08 22:36:49 - MainProcess | MainThread | base_page.__init__:45 - SUCCESS -Start a new browser: chrome, Spend 1.2760608196258545 seconds.
2023-12-08 22:36:49 - MainProcess | MainThread | base_page.open_url:57 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:36:50 - MainProcess | MainThread | base_page.input:195 - SUCCESS -Input 'selenium' to id->kw, Spend 0.2922093868255615 seconds.
2023-12-08 22:36:50 - MainProcess | MainThread | base_page.click:178 - SUCCESS -Click element id->su, Spend 0.07000017166137695 seconds.
2023-12-08 22:36:50 - MainProcess | MainThread | base_page.get_text:245 - SUCCESS -Get text:  from id->su, Spend 0.02101302146911621 seconds.
2023-12-08 22:37:59 - MainProcess | MainThread | base_page.__init__:45 - SUCCESS -Start a new browser: chrome, Spend 1.3805396556854248 seconds.
2023-12-08 22:38:00 - MainProcess | MainThread | base_page.open_url:57 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:38:00 - MainProcess | MainThread | base_page.input:195 - SUCCESS -Input 'selenium' to id->kw, Spend 0.2768881320953369 seconds.
2023-12-08 22:38:00 - MainProcess | MainThread | base_page.click:178 - SUCCESS -Click element id->su, Spend 0.08318042755126953 seconds.
2023-12-08 22:38:00 - MainProcess | MainThread | base_page.get_text:245 - SUCCESS -Get text: 【】 from id->su, Spend 0.03312349319458008 seconds.
2023-12-08 22:39:12 - MainProcess | MainThread | base_page.__init__:45 - SUCCESS -Start a new browser: chrome, Spend 1.405285120010376 seconds.
2023-12-08 22:39:12 - MainProcess | MainThread | base_page.open_url:57 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:39:12 - MainProcess | MainThread | base_page.input:195 - SUCCESS -Input 'selenium' to id->kw, Spend 0.2737424373626709 seconds.
2023-12-08 22:39:13 - MainProcess | MainThread | base_page.click:178 - SUCCESS -Click element id->su, Spend 0.07999944686889648 seconds.
2023-12-08 22:39:13 - MainProcess | MainThread | base_page.get_text:245 - SUCCESS -Get text: 【】 from id->su, Spend 0.028008222579956055 seconds.
2023-12-08 22:39:13 - MainProcess | MainThread | base_page.assert_text:413 - ERROR -Actual text '' does not match expected text '百度一下，你就知道'
2023-12-08 22:42:02 - MainProcess | MainThread | base_page.__init__:45 - SUCCESS -Start a new browser: chrome, Spend 1.208245038986206 seconds.
2023-12-08 22:42:02 - MainProcess | MainThread | base_page.open_url:57 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:42:02 - MainProcess | MainThread | base_page.input:195 - SUCCESS -Input 'selenium' to id->kw, Spend 0.28563952445983887 seconds.
2023-12-08 22:42:02 - MainProcess | MainThread | base_page.click:178 - SUCCESS -Click element id->su, Spend 0.09062314033508301 seconds.
2023-12-08 22:42:02 - MainProcess | MainThread | base_page.get_text:245 - SUCCESS -Get text: 【】 from id->su, Spend 0.028998851776123047 seconds.
2023-12-08 22:42:02 - MainProcess | MainThread | base_page.assert_text:413 - ERROR -Actual text '' does not match expected text '百度一下，你就知道'
2023-12-08 22:42:02 - MainProcess | MainThread | exceptions.__init__:15 - ERROR -Actual text '' does not match expected text '百度一下，你就知道'
2023-12-08 22:42:39 - MainProcess | MainThread | base_page.__init__:45 - SUCCESS -Start a new browser: chrome, Spend 1.159132719039917 seconds.
2023-12-08 22:42:39 - MainProcess | MainThread | base_page.open_url:57 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:42:39 - MainProcess | MainThread | base_page.input:195 - SUCCESS -Input 'selenium' to id->kw, Spend 0.26575589179992676 seconds.
2023-12-08 22:42:40 - MainProcess | MainThread | base_page.click:178 - SUCCESS -Click element id->su, Spend 0.0697488784790039 seconds.
2023-12-08 22:42:40 - MainProcess | MainThread | base_page.get_text:245 - SUCCESS -Get text: 【】 from id->su, Spend 0.022999286651611328 seconds.
2023-12-08 22:42:40 - MainProcess | MainThread | base_page.assert_text:413 - ERROR -Actual text '' does not match expected text '百度一下，你就知道'
2023-12-08 22:43:51 - MainProcess | MainThread | base_page.__init__:45 - SUCCESS -Start a new browser: chrome, Spend 1.3497333526611328 seconds.
2023-12-08 22:43:52 - MainProcess | MainThread | base_page.open_url:57 - SUCCESS -Navigated to https://www.baidu.com.
2023-12-08 22:43:52 - MainProcess | MainThread | base_page.input:195 - SUCCESS -Input 'selenium' to id->kw, Spend 0.3214304447174072 seconds.
2023-12-08 22:43:52 - MainProcess | MainThread | base_page.click:178 - SUCCESS -Click element id->su, Spend 0.07236218452453613 seconds.
2023-12-08 22:43:52 - MainProcess | MainThread | base_page.get_text:245 - SUCCESS -Get text: '' from id->su, Spend 0.022603273391723633 seconds.
